Day,S,E,I,R,D,N
0,2798047.00,99.00,0.00,24.00,0.00,2798170.00
1,2797935.66,101.26,2.86,130.19,0.03,2798170.00
2,2797818.66,105.53,3.84,241.88,0.10,2798170.00
3,2797695.78,110.56,4.27,359.20,0.19,2798170.00
4,2797566.77,116.01,4.56,482.39,0.28,2798170.00
5,2797431.35,121.76,4.81,611.71,0.37,2798170.00
6,2797289.19,127.81,5.05,747.48,0.48,2798170.00
7,2797139.97,134.15,5.30,889.99,0.58,2798170.00
8,2796983.35,140.81,5.57,1039.58,0.69,2798170.00
9,2796818.99,147.78,5.85,1196.58,0.81,2798170.00
10,2796646.49,155.09,6.13,1361.35,0.94,2798170.00
11,2796465.48,162.75,6.44,1534.26,1.07,2798170.00
12,2796275.55,170.77,6.76,1715.71,1.20,2798170.00
13,2796076.28,179.18,7.09,1906.11,1.34,2798170.00
14,2795867.21,187.99,7.44,2105.87,1.49,2798170.00
15,2795647.90,197.21,7.80,2315.44,1.65,2798170.00
16,2795417.85,206.87,8.19,2535.28,1.82,2798170.00
17,2795176.57,216.98,8.59,2765.88,1.99,2798170.00
18,2794923.52,227.56,9.01,3007.74,2.17,2798170.00
19,2794658.18,238.63,9.45,3261.38,2.36,2798170.00
20,2794379.96,250.22,9.90,3527.36,2.56,2798170.00
21,2794088.27,262.34,10.39,3806.23,2.77,2798170.00
22,2793782.51,275.01,10.89,4098.60,2.99,2798170.00
23,2793462.02,288.27,11.41,4405.08,3.22,2798170.00
24,2793126.16,302.12,11.96,4726.30,3.46,2798170.00
25,2792774.21,316.59,12.54,5062.95,3.71,2798170.00
26,2792405.48,331.71,13.14,5415.70,3.98,2798170.00
27,2792019.21,347.50,13.77,5785.27,4.26,2798170.00
28,2791614.63,363.99,14.42,6172.41,4.55,2798170.00
29,2791190.96,381.19,15.11,6577.89,4.85,2798170.00
30,2790747.35,399.15,15.82,7002.51,5.17,2798170.00
31,2790282.97,417.87,16.56,7447.09,5.50,2798170.00
32,2789796.92,437.39,17.34,7912.50,5.85,2798170.00
33,2789288.30,457.73,18.15,8399.60,6.22,2798170.00
34,2788756.16,478.93,18.99,8909.31,6.60,2798170.00
35,2788199.55,500.99,19.87,9442.58,7.00,2798170.00
36,2787617.47,523.96,20.79,10000.36,7.42,2798170.00
37,2787008.90,547.85,21.74,10583.65,7.86,2798170.00
38,2786372.78,572.69,22.73,11193.48,8.32,2798170.00
39,2785708.05,598.50,23.76,11830.89,8.80,2798170.00
40,2785013.60,625.31,24.83,12496.96,9.30,2798170.00
41,2784288.31,653.15,25.94,13192.78,9.83,2798170.00
42,2783531.03,682.02,27.09,13919.48,10.37,2798170.00
43,2782740.61,711.95,28.29,14678.21,10.95,2798170.00
44,2781915.84,742.96,29.53,15470.13,11.54,2798170.00
45,2781055.52,775.06,30.81,16296.43,12.16,2798170.00
46,2780158.45,808.28,32.14,17158.32,12.81,2798170.00
47,2779223.38,842.61,33.52,18057.00,13.49,2798170.00
48,2778249.08,878.08,34.94,18993.71,14.20,2798170.00
49,2777234.30,914.68,36.41,19969.68,14.93,2798170.00
50,2776177.79,952.42,37.93,20986.16,15.70,2798170.00
51,2775078.32,991.30,39.49,22044.39,16.50,2798170.00
52,2773934.64,1031.31,41.10,23145.62,17.33,2798170.00
53,2772745.53,1072.45,42.75,24291.08,18.20,2798170.00
54,2771509.77,1114.69,44.46,25481.98,19.10,2798170.00
55,2770226.18,1158.03,46.20,26719.55,20.03,2798170.00
56,2768893.61,1202.44,48.00,28004.95,21.01,2798170.00
57,2767510.92,1247.89,49.83,29339.35,22.02,2798170.00
58,2766077.03,1294.34,51.71,30723.85,23.06,2798170.00
59,2764590.92,1341.75,53.63,32159.55,24.15,2798170.00
60,2763051.60,1390.07,55.59,33647.46,25.28,2798170.00
61,2761458.16,1439.24,57.59,35188.56,26.45,2798170.00
62,2759809.75,1489.21,59.62,36783.76,27.66,2798170.00
63,2758105.62,1539.91,61.69,38433.88,28.91,2798170.00
64,2756345.09,1591.24,63.78,40139.68,30.20,2798170.00
65,2754527.59,1643.14,65.90,41901.83,31.54,2798170.00
66,2752652.64,1695.49,68.04,43720.90,32.93,2798170.00
67,2750719.89,1748.21,70.20,45597.34,34.35,2798170.00
68,2748729.12,1801.18,72.38,47531.49,35.83,2798170.00
69,2746680.21,1854.29,74.56,49523.59,37.34,2798170.00
70,2744573.21,1907.41,76.75,51573.73,38.91,2798170.00
71,2742408.30,1960.40,78.94,53681.84,40.51,2798170.00
72,2740185.83,2013.13,81.13,55847.74,42.17,2798170.00
73,2737906.30,2065.45,83.30,58071.08,43.86,2798170.00
74,2735570.39,2117.22,85.45,60351.33,45.61,2798170.00
75,2733178.93,2168.26,87.58,62687.82,47.40,2798170.00
76,2730732.96,2218.43,89.69,65079.69,49.23,2798170.00
77,2728233.68,2267.56,91.75,67525.91,51.10,2798170.00
78,2725682.48,2315.48,93.77,70025.25,53.02,2798170.00
79,2723080.94,2362.02,95.74,72576.33,54.97,2798170.00
80,2720430.81,2407.00,97.65,75177.56,56.97,2798170.00
81,2717734.06,2450.27,99.50,77827.16,59.01,2798170.00
82,2714992.80,2491.66,101.27,80523.19,61.08,2798170.00
83,2712209.34,2530.99,102.97,83263.50,63.19,2798170.00
84,2709386.18,2568.11,104.58,86045.79,65.34,2798170.00
85,2706525.95,2602.87,106.10,88867.56,67.52,2798170.00
86,2703631.47,2635.11,107.52,91726.17,69.72,2798170.00
87,2700705.69,2664.71,108.84,94618.81,71.96,2798170.00
88,2697751.71,2691.52,110.04,97542.51,74.22,2798170.00
89,2694772.74,2715.43,111.14,100494.19,76.51,2798170.00
90,2691772.13,2736.33,112.11,103470.62,78.82,2798170.00
